id,value
1,Hoe
2,Cutlass
3,Mobile Phone
4,Television
5,Motorbike
6,Radio
7,Bike
8,Refrigerator
9,Water tank
10,Car
11,Local granary for storage
12,Post-harvest drying area
13,None
14,Water pump
15,Tractor
16,Donkey cart
17,Plough
